Route,Year,Transit,Incident_Category,Delay_Count,Total_Delay_Min,active_in_2025,route_long_name,rank
73B,2023,Bus,General,13,276.0,True,Royal York,1
73C,2023,Bus,General,13,276.0,True,Royal York,2
73D,2023,Bus,General,13,276.0,True,Royal York,3
73S,2023,Bus,General,13,276.0,True,Royal York,4
73B,2023,Bus,Mechanical,139,2887.0,True,Royal York,1
73C,2023,Bus,Mechanical,139,2887.0,True,Royal York,2
73D,2023,Bus,Mechanical,139,2887.0,True,Royal York,3
73S,2023,Bus,Mechanical,139,2887.0,True,Royal York,4
73B,2023,Bus,Operations,106,6458.0,True,Royal York,1
73C,2023,Bus,Operations,106,6458.0,True,Royal York,2
73D,2023,Bus,Operations,106,6458.0,True,Royal York,3
73S,2023,Bus,Operations,106,6458.0,True,Royal York,4
73B,2023,Bus,Passenger,42,845.0,True,Royal York,1
73C,2023,Bus,Passenger,42,845.0,True,Royal York,2
73D,2023,Bus,Passenger,42,845.0,True,Royal York,3
73S,2023,Bus,Passenger,42,845.0,True,Royal York,4
73B,2024,Bus,Cleaning,10,228.0,True,Royal York,1
73C,2024,Bus,Cleaning,10,228.0,True,Royal York,2
73D,2024,Bus,Cleaning,10,228.0,True,Royal York,3
73S,2024,Bus,Cleaning,10,228.0,True,Royal York,4
73B,2024,Bus,Collision,16,370.0,True,Royal York,1
73C,2024,Bus,Collision,16,370.0,True,Royal York,2
73D,2024,Bus,Collision,16,370.0,True,Royal York,3
73S,2024,Bus,Collision,16,370.0,True,Royal York,4
73B,2024,Bus,General,8,362.0,True,Royal York,1
73C,2024,Bus,General,8,362.0,True,Royal York,2
73D,2024,Bus,General,8,362.0,True,Royal York,3
73S,2024,Bus,General,8,362.0,True,Royal York,4
73B,2024,Bus,Mechanical,147,3251.0,True,Royal York,1
73C,2024,Bus,Mechanical,147,3251.0,True,Royal York,2
73D,2024,Bus,Mechanical,147,3251.0,True,Royal York,3
73S,2024,Bus,Mechanical,147,3251.0,True,Royal York,4
73B,2024,Bus,Operations,101,5270.0,True,Royal York,1
73C,2024,Bus,Operations,101,5270.0,True,Royal York,2
73D,2024,Bus,Operations,101,5270.0,True,Royal York,3
73S,2024,Bus,Operations,101,5270.0,True,Royal York,4
73B,2024,Bus,Passenger,38,813.0,True,Royal York,1
73C,2024,Bus,Passenger,38,813.0,True,Royal York,2
73D,2024,Bus,Passenger,38,813.0,True,Royal York,3
73S,2024,Bus,Passenger,38,813.0,True,Royal York,4
73B,2025,Bus,General,330,10212.0,True,Royal York,1
73C,2025,Bus,General,330,10212.0,True,Royal York,2
73D,2025,Bus,General,330,10212.0,True,Royal York,3
73S,2025,Bus,General,330,10212.0,True,Royal York,4
74A,2014,Bus,General,11,173.0,True,Mount Pleasant,1
74A,2014,Bus,Mechanical,24,417.0,True,Mount Pleasant,1
74A,2014,Bus,Operations,4,51.0,True,Mount Pleasant,1
74A,2014,Bus,Passenger,3,55.0,True,Mount Pleasant,1
74A,2014,Bus,Scheduling,29,400.0,True,Mount Pleasant,1
74A,2015,Bus,General,17,421.0,True,Mount Pleasant,1
74A,2015,Bus,Mechanical,50,965.0,True,Mount Pleasant,1
74A,2015,Bus,Operations,7,598.0,True,Mount Pleasant,1
74A,2015,Bus,Passenger,4,120.0,True,Mount Pleasant,1
74A,2015,Bus,Scheduling,23,398.0,True,Mount Pleasant,1
74A,2016,Bus,General,10,203.0,True,Mount Pleasant,1
74A,2016,Bus,Mechanical,61,1127.0,True,Mount Pleasant,1
74A,2016,Bus,Operations,25,1068.0,True,Mount Pleasant,1
74A,2016,Bus,Passenger,5,112.0,True,Mount Pleasant,1
74A,2016,Bus,Scheduling,25,432.0,True,Mount Pleasant,1
74A,2017,Bus,General,8,71.0,True,Mount Pleasant,1
74A,2017,Bus,Mechanical,61,1314.0,True,Mount Pleasant,1
74A,2017,Bus,Operations,39,2199.0,True,Mount Pleasant,1
74A,2017,Bus,Passenger,13,251.0,True,Mount Pleasant,1
74A,2017,Bus,Scheduling,12,268.0,True,Mount Pleasant,1
74A,2018,Bus,General,13,191.0,True,Mount Pleasant,1
74A,2018,Bus,Mechanical,40,740.0,True,Mount Pleasant,1
74A,2018,Bus,Operations,89,3834.0,True,Mount Pleasant,1
74A,2018,Bus,Passenger,17,315.0,True,Mount Pleasant,1
74A,2018,Bus,Scheduling,30,524.0,True,Mount Pleasant,1
74A,2019,Bus,General,11,161.0,True,Mount Pleasant,1
74A,2019,Bus,Mechanical,55,941.0,True,Mount Pleasant,1
74A,2019,Bus,Operations,37,2744.0,True,Mount Pleasant,1
74A,2019,Bus,Passenger,7,122.0,True,Mount Pleasant,1
74A,2019,Bus,Scheduling,9,171.0,True,Mount Pleasant,1
74A,2020,Bus,Collision,1,130.0,True,Mount Pleasant,1
74A,2020,Bus,General,6,102.0,True,Mount Pleasant,1
74A,2020,Bus,Mechanical,36,640.0,True,Mount Pleasant,1
74A,2020,Bus,Operations,17,927.0,True,Mount Pleasant,1
74A,2020,Bus,Passenger,12,229.0,True,Mount Pleasant,1
74A,2021,Bus,Cleaning,2,35.0,True,Mount Pleasant,1
74A,2021,Bus,Collision,6,749.0,True,Mount Pleasant,1
74A,2021,Bus,General,3,390.0,True,Mount Pleasant,1
74A,2021,Bus,Mechanical,13,282.0,True,Mount Pleasant,1
74A,2021,Bus,Operations,66,1939.0,True,Mount Pleasant,1
74A,2021,Bus,Passenger,10,273.0,True,Mount Pleasant,1
74A,2022,Bus,Cleaning,1,25.0,True,Mount Pleasant,1
74A,2022,Bus,Collision,8,173.0,True,Mount Pleasant,1
74A,2022,Bus,General,4,80.0,True,Mount Pleasant,1
74A,2022,Bus,Mechanical,11,246.0,True,Mount Pleasant,1
74A,2022,Bus,Operations,49,1553.0,True,Mount Pleasant,1
74A,2022,Bus,Passenger,4,87.0,True,Mount Pleasant,1
74A,2022,Bus,Scheduling,3,60.0,True,Mount Pleasant,1
74A,2023,Bus,Cleaning,4,78.0,True,Mount Pleasant,1
74A,2023,Bus,Collision,8,165.0,True,Mount Pleasant,1
74A,2023,Bus,General,7,635.0,True,Mount Pleasant,1
74A,2023,Bus,Mechanical,12,243.0,True,Mount Pleasant,1
74A,2023,Bus,Operations,25,2554.0,True,Mount Pleasant,1
74A,2023,Bus,Passenger,7,149.0,True,Mount Pleasant,1
74A,2024,Bus,Cleaning,4,88.0,True,Mount Pleasant,1
74A,2024,Bus,Collision,10,212.0,True,Mount Pleasant,1
74A,2024,Bus,General,2,45.0,True,Mount Pleasant,1
74A,2024,Bus,Mechanical,14,311.0,True,Mount Pleasant,1
74A,2024,Bus,Operations,25,1540.0,True,Mount Pleasant,1
74A,2024,Bus,Passenger,7,152.0,True,Mount Pleasant,1
74A,2025,Bus,General,83,4092.0,True,Mount Pleasant,1
75,2014,Bus,General,12,214.0,True,Sherbourne,1
75,2014,Bus,Mechanical,159,1523.0,True,Sherbourne,1
75,2014,Bus,Operations,216,4048.0,True,Sherbourne,1
75,2014,Bus,Passenger,63,627.0,True,Sherbourne,1
75,2014,Bus,Scheduling,52,355.0,True,Sherbourne,1
75,2015,Bus,General,18,1440.0,True,Sherbourne,1
75,2015,Bus,Mechanical,157,1427.0,True,Sherbourne,1
75,2015,Bus,Operations,215,63562.0,True,Sherbourne,1
75,2015,Bus,Passenger,52,579.0,True,Sherbourne,1
75,2015,Bus,Scheduling,42,365.0,True,Sherbourne,1
75,2016,Bus,General,19,377.0,True,Sherbourne,1
75,2016,Bus,Mechanical,191,1682.0,True,Sherbourne,1
75,2016,Bus,Operations,241,3872.0,True,Sherbourne,1
75,2016,Bus,Passenger,60,677.0,True,Sherbourne,1
75,2016,Bus,Scheduling,42,292.0,True,Sherbourne,1
75,2017,Bus,General,33,760.0,True,Sherbourne,1
75,2017,Bus,Mechanical,161,1385.0,True,Sherbourne,1
75,2017,Bus,Operations,157,3887.0,True,Sherbourne,1
75,2017,Bus,Passenger,64,923.0,True,Sherbourne,1
75,2017,Bus,Scheduling,33,244.0,True,Sherbourne,1
75,2018,Bus,General,152,2847.0,True,Sherbourne,1
75,2018,Bus,Mechanical,134,1239.0,True,Sherbourne,1
75,2018,Bus,Operations,137,4982.0,True,Sherbourne,1
75,2018,Bus,Passenger,93,865.0,True,Sherbourne,1
75,2018,Bus,Scheduling,52,467.0,True,Sherbourne,1
75,2019,Bus,General,215,3791.0,True,Sherbourne,1
75,2019,Bus,Mechanical,106,961.0,True,Sherbourne,1
75,2019,Bus,Operations,98,4070.0,True,Sherbourne,1
75,2019,Bus,Passenger,70,668.0,True,Sherbourne,1
75,2019,Bus,Scheduling,17,186.0,True,Sherbourne,1
75,2020,Bus,Cleaning,17,107.0,True,Sherbourne,1
75,2020,Bus,Collision,9,315.0,True,Sherbourne,1
75,2020,Bus,General,11,890.0,True,Sherbourne,1
75,2020,Bus,Management,6,71.0,True,Sherbourne,1
75,2020,Bus,Mechanical,86,822.0,True,Sherbourne,1
75,2020,Bus,Operations,161,12550.0,True,Sherbourne,1
75,2020,Bus,Passenger,99,1162.0,True,Sherbourne,1
75,2021,Bus,Cleaning,83,680.0,True,Sherbourne,1
75,2021,Bus,Collision,29,898.0,True,Sherbourne,1
75,2021,Bus,General,12,678.0,True,Sherbourne,1
75,2021,Bus,Mechanical,53,489.0,True,Sherbourne,1
75,2021,Bus,Operations,101,2330.0,True,Sherbourne,1
75,2021,Bus,Passenger,71,809.0,True,Sherbourne,1
75,2022,Bus,Cleaning,32,416.0,True,Sherbourne,1
75,2022,Bus,Collision,25,401.0,True,Sherbourne,1
75,2022,Bus,General,28,522.0,True,Sherbourne,1
75,2022,Bus,Mechanical,43,396.0,True,Sherbourne,1
75,2022,Bus,Operations,252,5960.0,True,Sherbourne,1
75,2022,Bus,Passenger,109,1281.0,True,Sherbourne,1
75,2023,Bus,Cleaning,36,489.0,True,Sherbourne,1
75,2023,Bus,Collision,35,331.0,True,Sherbourne,1
75,2023,Bus,General,26,448.0,True,Sherbourne,1
75,2023,Bus,Mechanical,67,669.0,True,Sherbourne,1
75,2023,Bus,Operations,141,7231.0,True,Sherbourne,1
75,2023,Bus,Passenger,132,1637.0,True,Sherbourne,1
75,2024,Bus,Cleaning,32,398.0,True,Sherbourne,1
75,2024,Bus,Collision,36,378.0,True,Sherbourne,1
75,2024,Bus,General,11,198.0,True,Sherbourne,1
75,2024,Bus,Mechanical,72,705.0,True,Sherbourne,1
75,2024,Bus,Operations,137,7093.0,True,Sherbourne,1
75,2024,Bus,Passenger,137,1937.0,True,Sherbourne,1
75,2025,Bus,General,460,13044.0,True,Sherbourne,1
751,2014,Bus,Mechanical,1,17.0,False,Unknown,1
751,2014,Bus,Operations,8,17.0,False,Unknown,1
751,2015,Bus,Operations,3,3.0,False,Unknown,1
751,2016,Bus,Mechanical,6,6.0,False,Unknown,1
751,2016,Bus,Operations,3,3.0,False,Unknown,1
751,2017,Bus,Operations,6,6.0,False,Unknown,1
751,2018,Bus,Operations,7,7.0,False,Unknown,1
752,2014,Bus,Operations,8,8.0,False,Unknown,1
752,2015,Bus,Operations,11,11.0,False,Unknown,1
752,2016,Bus,Operations,6,6.0,False,Unknown,1
752,2017,Bus,Operations,2,2.0,False,Unknown,1
752,2018,Bus,Operations,1,1.0,False,Unknown,1
754,2014,Bus,Mechanical,26,195.0,False,Unknown,1
754,2014,Bus,Operations,4,10.0,False,Unknown,1
754,2014,Bus,Scheduling,1,2.0,False,Unknown,1
754,2015,Bus,Operations,2,3.0,False,Unknown,1
754,2016,Bus,Scheduling,1,1.0,False,Unknown,1
754,2017,Bus,Operations,2,6.0,False,Unknown,1
754,2017,Bus,Passenger,1,1.0,False,Unknown,1
754,2018,Bus,Passenger,1,1.0,False,Unknown,1
756,2014,Bus,Mechanical,4,4.0,False,Unknown,1
