route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
130,3,50017231,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
130,3,50017238,North - 130A Middlefield towards Steeles,A,1,2193461,1097222,1,1
130,3,50017230,North - 130A Middlefield towards Steeles,A,1,2193460,1097222,1,1
130,3,50017229,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
130,3,50017213,North - 130A Middlefield towards Steeles,A,1,2193461,1097222,1,1
130,3,50017228,North - 130A Middlefield towards Steeles,A,1,2193460,1097222,1,1
130,3,50017227,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
130,3,50017209,North - 130A Middlefield towards Steeles,A,1,2193461,1097222,1,1
130,3,50017217,North - 130A Middlefield towards Steeles,A,1,2193460,1097222,1,1
130,3,50017225,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
130,3,50017224,North - 130A Middlefield towards Steeles,A,1,2193461,1097222,1,1
130,3,50017223,North - 130A Middlefield towards Steeles,A,1,2193460,1097222,1,1
130,3,50017220,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
130,3,50017216,North - 130A Middlefield towards Steeles,A,1,2193461,1097222,1,1
130,3,50017215,North - 130A Middlefield towards Steeles,A,1,2193460,1097222,1,1
130,3,50017214,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
130,3,50017226,North - 130A Middlefield towards Steeles,A,1,2193461,1097222,1,1
130,3,50017222,North - 130A Middlefield towards Steeles,A,1,2193460,1097222,1,1
130,3,50017219,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
130,3,50017240,North - 130A Middlefield towards Steeles,A,1,2193461,1097222,1,1
130,3,50017218,North - 130A Middlefield towards Steeles,A,1,2193460,1097222,1,1
130,3,50017221,North - 130A Middlefield towards Steeles,A,1,2193459,1097222,1,1
131,3,50017268,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097224,1,1
131,3,50017267,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193463,1097224,1,1
131,3,50017266,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097224,1,1
131,3,50017264,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097224,1,1
131,3,50017250,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097224,1,1
131,3,50017249,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097224,1,1
131,3,50017248,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193463,1097224,1,1
131,3,50017247,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097224,1,1
131,3,50017246,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097224,1,1
131,3,50017245,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097224,1,1
131,3,50017255,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097224,1,1
131,3,50017272,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193463,1097224,1,1
131,3,50017271,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097224,1,1
131,3,50017270,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097224,1,1
131,3,50017263,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097224,1,1
131,3,50017262,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097224,1,1
131,3,50017261,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097224,1,1
131,3,50017260,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193463,1097224,1,1
131,3,50017259,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097224,1,1
131,3,50017257,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097224,1,1
131,3,50017253,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193468,1097224,2,2
131,3,50017252,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097224,1,1
131,3,50017254,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097224,1,1
131,3,50017251,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097224,1,1
131,3,50017244,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193463,1097224,1,1
131,3,50017265,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097223,1,1
131,3,50017256,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097223,1,1
131,3,50017258,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193468,1097223,2,2
131,3,50017269,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097223,1,1
131,3,50017295,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097223,1,1
131,3,50017290,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097223,1,1
131,3,50017289,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193463,1097223,1,1
131,3,50017288,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097223,1,1
131,3,50017287,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097223,1,1
131,3,50017286,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193468,1097223,2,2
131,3,50017285,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097223,1,1
131,3,50017291,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097223,1,1
131,3,50017284,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097223,1,1
131,3,50017293,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193463,1097223,1,1
131,3,50017283,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097223,1,1
131,3,50017294,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097223,1,1
131,3,50017275,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193468,1097223,2,2
131,3,50017292,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097223,1,1
131,3,50017281,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097223,1,1
131,3,50017280,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097223,1,1
131,3,50017279,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097223,1,1
131,3,50017278,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097223,1,1
131,3,50017282,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193468,1097223,2,2
131,3,50017276,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097223,1,1
131,3,50017297,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097223,1,1
131,3,50017274,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193467,1097223,1,1
131,3,50017277,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097223,1,1
131,3,50017306,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097223,1,1
131,3,50017296,West - 131S Nugget Short Turn towards Morningside,S,0,2193468,1097225,2,2
131,3,50017305,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097223,1,1
131,3,50017304,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097223,1,1
131,3,50017303,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193466,1097223,1,1
131,3,50017302,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193465,1097223,1,1
131,3,50017301,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193464,1097223,1,1
131,3,50017273,West - 131 Nugget towards Kennedy Stn via Scarborough Centre Stn,,0,2193462,1097223,1,1
131,3,50017300,West - 131S Nugget Short Turn towards Morningside,S,0,2193466,1097225,1,1
131,3,50017299,West - 131S Nugget Short Turn towards Morningside,S,0,2193465,1097225,1,1
131,3,50017298,West - 131S Nugget Short Turn towards Morningside,S,0,2193464,1097225,1,1
131,3,50017337,East - 131 Nugget towards Old Finch/Morningview via Scarborough Centre Stn,,1,2193467,1097230,1,1
131,3,50017320,East - 131 Nugget towards Old Finch/Morningview via Scarborough Centre Stn,,1,2193463,1097230,1,1
131,3,50017347,East - 131 Nugget towards Old Finch/Morningview via Scarborough Centre Stn,,1,2193464,1097227,1,1
131,3,50017319,East - 131 Nugget towards Old Finch/Morningview via Scarborough Centre Stn,,1,2193466,1097230,1,1
